love	3.9700616020532484	42/1567	106/101999	0.0268	0.001
you	0.772235137072403	91/1567	3503/101999	0.0581	0.0343
way	0.4224267689592893	6/1567	127/101999	0.0038	0.0012
from	0.3872217724712546	8/1567	211/101999	0.0051	0.0021
!	0.36982939246143803	12/1567	384/101999	0.0077	0.0038
and	0.35989145486214846	48/1567	2217/101999	0.0306	0.0217
time	0.33967198716760877	5/1567	120/101999	0.0032	0.0012
my	0.323539877736437	33/1567	1477/101999	0.0211	0.0145
all	0.22929486774851587	9/1567	351/101999	0.0057	0.0034
say	0.2193501901922981	5/1567	169/101999	0.0032	0.0017
make	0.21784425403293767	4/1567	126/101999	0.0026	0.0012
me	0.1922116228051374	9/1567	381/101999	0.0057	0.0037
very	0.1682263617044337	3/1567	102/101999	0.0019	0.001
here	0.15844008702496912	4/1567	153/101999	0.0026	0.0015
i	0.15218648183733807	23/1567	1211/101999	0.0147	0.0119
,	0.1474246498353615	58/1567	3326/101999	0.037	0.0326
we	0.13375059713905316	9/1567	434/101999	0.0057	0.0043
said	0.12984966576519003	3/1567	118/101999	0.0019	0.0012
will	0.12493379393340619	4/1567	171/101999	0.0026	0.0017
if_you	0.08391559665069707	6/1567	310/101999	0.0038	0.003
was	0.07819065589948124	3/1567	144/101999	0.0019	0.0014
a	0.07680998280999385	24/1567	1407/101999	0.0153	0.0138
when	0.0694060932200145	4/1567	206/101999	0.0026	0.002
how	0.06511472202156883	4/1567	209/101999	0.0026	0.002
thank_you	0.05759410449289307	3/1567	156/101999	0.0019	0.0015
(	0.055952568047607815	3/1567	157/101999	0.0019	0.0015
with	0.04998721650827947	11/1567	647/101999	0.007	0.0063
some	0.049492355880745555	3/1567	161/101999	0.0019	0.0016
like	0.043990043252008296	6/1567	346/101999	0.0038	0.0034
them	0.04164459796099459	3/1567	166/101999	0.0019	0.0016
so	0.03762346837537016	7/1567	414/101999	0.0045	0.0041
work	0.037161514312191495	2/1567	109/101999	0.0013	0.0011
know	0.0340339890852284	3/1567	171/101999	0.0019	0.0017
would	0.0333545323796766	2/1567	111/101999	0.0013	0.0011
one	0.031477183262466936	2/1567	112/101999	0.0013	0.0011
different	0.031477183262466936	2/1567	112/101999	0.0013	0.0011
in	0.02009579281306056	15/1567	943/101999	0.0096	0.0092
don't	0.017042254506838533	2/1567	120/101999	0.0013	0.0012
good	0.015306331491744266	2/1567	121/101999	0.0013	0.0012
to	0.0037095239732663258	30/1567	1944/101999	0.0191	0.0191
you_are	0.0004187410243445915	4/1567	260/101999	0.0026	0.0025
.	-0.005283201431726075	100/1567	6531/101999	0.0638	0.064
then	-0.013726169195198581	2/1567	139/101999	0.0013	0.0014
up	-0.015229330991386352	2/1567	140/101999	0.0013	0.0014
an	-0.022311792209057768	3/1567	213/101999	0.0019	0.0021
but	-0.023761175405450804	8/1567	551/101999	0.0051	0.0054
your	-0.03127541667976595	24/1567	1630/101999	0.0153	0.016
also	-0.051099256942671874	2/1567	166/101999	0.0013	0.0016
)	-0.05363539352855929	2/1567	168/101999	0.0013	0.0016
about	-0.058538976018708645	4/1567	317/101999	0.0026	0.0031
,_but	-0.06359479241233648	5/1567	394/101999	0.0032	0.0039
than	-0.08155788944905921	1/1567	112/101999	0.0006	0.0011
we_have	-0.0829312138093963	1/1567	113/101999	0.0006	0.0011
out	-0.08698971060778747	1/1567	116/101999	0.0006	0.0011
is	-0.09465603384095224	14/1567	1079/101999	0.0089	0.0106
see	-0.09612390627989344	1/1567	123/101999	0.0006	0.0012
-	-0.09612390627989344	1/1567	123/101999	0.0006	0.0012
only	-0.09739285400492803	1/1567	124/101999	0.0006	0.0012
have	-0.1001259104056947	8/1567	660/101999	0.0051	0.0065
our	-0.1029264645601059	9/1567	737/101999	0.0057	0.0072
i_think	-0.12316110071755366	2/1567	232/101999	0.0013	0.0023
by	-0.12447969377626977	1/1567	147/101999	0.0006	0.0014
for	-0.12525530470030236	10/1567	848/101999	0.0064	0.0083
because	-0.1278567377494867	2/1567	237/101999	0.0013	0.0023
are	-0.13018634302618856	3/1567	322/101999	0.0019	0.0032
'	-0.13097728153962357	1/1567	153/101999	0.0006	0.0015
you're	-0.13101352016087423	3/1567	323/101999	0.0019	0.0032
be	-0.13415061218435947	1/1567	156/101999	0.0006	0.0015
you_can	-0.1351977002558013	1/1567	157/101999	0.0006	0.0015
being	-0.13623955986709238	1/1567	158/101999	0.0006	0.0015
that	-0.14003406180173542	18/1567	1459/101999	0.0115	0.0143
at	-0.14933692969125031	1/1567	171/101999	0.0006	0.0017
do	-0.15101565472397516	2/1567	263/101999	0.0013	0.0026
more	-0.15607378745848122	1/1567	178/101999	0.0006	0.0017
it's	-0.16107241847891726	2/1567	275/101999	0.0013	0.0027
or	-0.16677543135563697	2/1567	282/101999	0.0013	0.0028
i'm	-0.17157371283572515	2/1567	288/101999	0.0013	0.0028
really	-0.17775115710701084	1/1567	202/101999	0.0006	0.002
the	-0.18114187837933385	25/1567	2067/101999	0.016	0.0203
into	-0.18755360364823834	0/1567	103/101999	0.0	0.001
any	-0.18846367369696285	0/1567	104/101999	0.0	0.001
experience	-0.18846367369696285	0/1567	104/101999	0.0	0.001
this	-0.18901232093207823	3/1567	400/101999	0.0019	0.0039
something	-0.19116809760275325	0/1567	107/101999	0.0	0.001
as	-0.19421897802595847	4/1567	494/101999	0.0026	0.0048
that's	-0.1964662001506049	0/1567	113/101999	0.0	0.0011
/	-0.19733550526621302	0/1567	114/101999	0.0	0.0011
no	-0.2007754188120298	0/1567	118/101999	0.0	0.0012
get	-0.2023279241840247	1/1567	232/101999	0.0006	0.0023
of	-0.21619209328997088	9/1567	944/101999	0.0057	0.0093
?	-0.22029980142887226	0/1567	142/101999	0.0	0.0014
people	-0.22567962652319834	0/1567	149/101999	0.0	0.0015
think	-0.22794683488452894	0/1567	152/101999	0.0	0.0015
*	-0.22869763409346627	0/1567	153/101999	0.0	0.0015
not	-0.2323353613230036	2/1567	373/101999	0.0013	0.0037
on	-0.2578133191199647	3/1567	510/101999	0.0019	0.005
if	-0.28426237408209754	0/1567	236/101999	0.0	0.0023
thank_you_for	-0.2848667349315797	0/1567	237/101999	0.0	0.0023
what	-0.3028449344034307	1/1567	387/101999	0.0006	0.0038
it	-0.30937449017169005	6/1567	887/101999	0.0038	0.0087
just	-0.37484357262894746	0/1567	409/101999	0.0	0.004
