thank_you_for	0.8277209424321704	14/2530	165/89636	0.0055	0.0018
and	0.6469732889767464	78/2530	1917/89636	0.0308	0.0214
all	0.5634566335818427	17/2530	302/89636	0.0067	0.0034
!	0.4875338249442009	17/2530	331/89636	0.0067	0.0037
make	0.4266108049848476	7/2530	110/89636	0.0028	0.0012
this	0.4244746826915833	16/2530	331/89636	0.0063	0.0037
i	0.39387946123738	39/2530	1005/89636	0.0154	0.0112
get	0.3563940317322472	10/2530	200/89636	0.004	0.0022
for	0.31193269979608607	28/2530	736/89636	0.0111	0.0082
thank_you	0.2798973139043784	6/2530	119/89636	0.0024	0.0013
with	0.2796654921838193	22/2530	576/89636	0.0087	0.0064
)	0.2687152935379897	7/2530	148/89636	0.0028	0.0017
on	0.2678465900135542	17/2530	433/89636	0.0067	0.0048
people	0.26773994084907554	6/2530	122/89636	0.0024	0.0014
i_love	0.2607343207978424	5/2530	98/89636	0.002	0.0011
we	0.22411959276391624	15/2530	396/89636	0.0059	0.0044
,_but	0.20275606465766483	13/2530	346/89636	0.0051	0.0039
will	0.1806432459564894	6/2530	146/89636	0.0024	0.0016
something	0.1739597031541917	4/2530	91/89636	0.0016	0.001
.	0.16780587392132157	171/2530	5698/89636	0.0676	0.0636
my	0.16189986675463325	41/2530	1279/89636	0.0162	0.0143
we're	0.1611508041477729	4/2530	94/89636	0.0016	0.001
how	0.16067566176067308	7/2530	182/89636	0.0028	0.002
love	0.15806385644232385	6/2530	153/89636	0.0024	0.0017
our	0.15030227549744193	21/2530	630/89636	0.0083	0.007
you_can	0.13910908973301692	5/2530	129/89636	0.002	0.0014
that's	0.13677261848957162	4/2530	100/89636	0.0016	0.0011
would	0.1251490395257393	4/2530	103/89636	0.0016	0.0011
different	0.11759301986660034	4/2530	105/89636	0.0016	0.0012
time	0.10291566438878136	4/2530	109/89636	0.0016	0.0012
that	0.09879601309597566	39/2530	1276/89636	0.0154	0.0142
,	0.08957139574044164	86/2530	2905/89636	0.034	0.0324
have	0.08949518731647566	18/2530	573/89636	0.0071	0.0064
i'm	0.07416936737903713	8/2530	248/89636	0.0032	0.0028
do	0.06459478092410562	7/2530	219/89636	0.0028	0.0024
you're	0.0641074209735632	9/2530	286/89636	0.0036	0.0032
an	0.05905174921236461	6/2530	188/89636	0.0024	0.0021
be	0.04610275856908145	4/2530	126/89636	0.0016	0.0014
as	0.04546786124171436	13/2530	432/89636	0.0051	0.0048
her	0.03456888866352049	3/2530	96/89636	0.0012	0.0011
than	0.017336459927838554	3/2530	101/89636	0.0012	0.0011
/	0.017336459927838554	3/2530	101/89636	0.0012	0.0011
them	0.004786115462054827	4/2530	140/89636	0.0016	0.0016
it	0.003677226880333196	21/2530	741/89636	0.0083	0.0083
about	-0.0030652008416544225	8/2530	285/89636	0.0032	0.0032
(	-0.008996981555590883	4/2530	145/89636	0.0016	0.0016
are	-0.016571029688178626	8/2530	292/89636	0.0032	0.0033
me	-0.030928814230285543	9/2530	336/89636	0.0036	0.0037
know	-0.05510324754337597	4/2530	163/89636	0.0016	0.0018
i_think	-0.062177394364418014	5/2530	204/89636	0.002	0.0023
it's	-0.06257029490112931	6/2530	242/89636	0.0024	0.0027
so	-0.06350847941633345	9/2530	355/89636	0.0036	0.004
in	-0.06620316289428965	22/2530	837/89636	0.0087	0.0093
of	-0.06620316289428965	22/2530	837/89636	0.0087	0.0093
really	-0.07406896531597049	4/2530	171/89636	0.0016	0.0019
any	-0.07594634155854474	2/2530	93/89636	0.0008	0.001
here	-0.07919021541373716	3/2530	134/89636	0.0012	0.0015
out	-0.09074408213633296	2/2530	98/89636	0.0008	0.0011
'	-0.10163331999777336	3/2530	143/89636	0.0012	0.0016
see	-0.10487664478112084	2/2530	103/89636	0.0008	0.0011
more	-0.10644574724891076	3/2530	145/89636	0.0012	0.0016
you_are	-0.10762049814584035	5/2530	226/89636	0.002	0.0025
one	-0.10762944140504656	2/2530	104/89636	0.0008	0.0012
some	-0.11355329230159211	3/2530	148/89636	0.0012	0.0017
also	-0.11355329230159211	3/2530	148/89636	0.0012	0.0017
is	-0.11805249197667077	24/2530	960/89636	0.0095	0.0107
when	-0.11811696725968364	4/2530	191/89636	0.0016	0.0021
your	-0.12414219012989695	37/2530	1452/89636	0.0146	0.0162
then	-0.1535877804113485	2/2530	122/89636	0.0008	0.0014
way	-0.15832581121363754	2/2530	124/89636	0.0008	0.0014
up	-0.1629993677807866	2/2530	126/89636	0.0008	0.0014
but	-0.16383447127149256	11/2530	500/89636	0.0043	0.0056
to	-0.16749679568324363	42/2530	1693/89636	0.0166	0.0189
or	-0.17393451781426592	5/2530	262/89636	0.002	0.0029
think	-0.178878934570624	2/2530	133/89636	0.0008	0.0015
*	-0.18328728396988672	2/2530	135/89636	0.0008	0.0015
you	-0.19455248122824015	80/2530	3154/89636	0.0316	0.0352
like	-0.1962944811942053	6/2530	318/89636	0.0024	0.0035
said	-0.2125351128253833	1/2530	99/89636	0.0004	0.0011
no	-0.2193066696461629	1/2530	102/89636	0.0004	0.0011
at	-0.2207154954097438	2/2530	153/89636	0.0008	0.0017
good	-0.225930269337757	1/2530	105/89636	0.0004	0.0012
say	-0.2362129931625432	2/2530	161/89636	0.0008	0.0018
only	-0.23666307364896677	1/2530	110/89636	0.0004	0.0012
if	-0.23961046525614477	3/2530	211/89636	0.0012	0.0024
because	-0.24818261438002562	3/2530	216/89636	0.0012	0.0024
don't	-0.24907800777208067	1/2530	116/89636	0.0004	0.0013
if_you	-0.27034671575849656	4/2530	277/89636	0.0016	0.0031
was	-0.27820039103627925	1/2530	131/89636	0.0004	0.0015
being	-0.2927720519082122	1/2530	139/89636	0.0004	0.0016
not	-0.3021469024554279	5/2530	346/89636	0.002	0.0039
just	-0.32746772369359045	5/2530	365/89636	0.002	0.0041
-	-0.34421925761815314	0/2530	106/89636	0.0	0.0012
what	-0.3492631470831047	4/2530	333/89636	0.0016	0.0037
from	-0.3655207452392429	1/2530	184/89636	0.0004	0.0021
a	-0.3657198652968152	25/2530	1275/89636	0.0099	0.0142
by	-0.3738748851903699	0/2530	125/89636	0.0	0.0014
?	-0.3885841202642787	0/2530	135/89636	0.0	0.0015
the	-0.43080215457548415	36/2530	1820/89636	0.0142	0.0203
